company_name,address_lines,person,phone,web
4 Architecture,"['8966 Woodbine Avenue', 'Markham, ON', 'L3R 0J7']",Stephen Hunt,905-470-7212,http://www.4architecture.ca
4 LEVEL COACH,"['Suite 104, 2201 Brant St', 'Burlington, ON', 'L7P 3N8']",Randy Stanbury,(905) 339-7112,https://4levelcoach.com/
52 Pick-up Inc.,"['672 Dupont Street', 'Toronto, ON', 'M6G 1Z6']",Susan McIntee,416-537-5200,http://www.52pick-up.com
59 Project Management Inc.,"['55 Logan Avenue', 'Toronto, ON', 'M4M 2M9']",Debbie MacDonald,416-591-0253,http://www.5nine.ca
613 Mechanical Systems,"['7 Glennway Ave', 'Johnstown, ON', 'K0E 1T1']",Joe Cooke,613-802-0384,http://www.613mechanical.ca
6H Realty Inc. Brokerage,"['2908 South Sheridan Way', 'Mississauga, ON', 'L6J 7M1']",Roy Hobbs,647-272-9759,N/A
7959168 Canada Inc o/a Roy-L Construction,"['467 Speers Road', 'Oakville, ON', 'L6K 3S4']",Roy Lamoureux,289-795-0002,N/A
927783 Ontario Inc. (o/a Ken McCormack Construction),"['4543 Southclark Place', 'Ottawa, ON', 'K1T 3V2']",Ken McCormack,613-894-7724,N/A
95 Development Inc.,"['1571 Sandhurst Circle', 'Scarborough, ON', 'M1V 1V2']",Richard Hu,647-395-8888,https://www.95development.com
A & B Bulat Homes Limited,"['11 Gifford Street, Suite 202', 'Nepean, ON', 'K2E 7S3']",Ankica Bulat,613-723-1008,www.bulathomes.com
A & B Precast Mfg. Ltd.,"['6648 Highway 62 North', 'Belleville, ON', 'K8N 4Z5']",Cliff Anderson,613-962-9111,-https://abprecast.ca/
A & E Ceramic Tile & Marble Ltd.,"['101 College Street West', 'Belleville, ON', 'K8P 2G3']",Elvis Leonarduzzi,613-966-2767,https://www.aeceramictile.com/
A & J Energy Consultants,"['#307-9030 Leslie St', 'Richmond Hill, ON', 'L4B 1G2']",Jack Zhou,+1 (647) 696-6683,https://ajec.ca/
A & J Home Hardware Ltd.,"['469 Bouchard St.', 'Sudbury, ON', 'P3E 2K8']",Arnel Michel,705 522 3780,-
A & R Development Group Ltd.,"['214 Hoover Drive', 'Pickering, ON', 'L1V 6B7']",Raja Uppuluri,647-309-4099,www.ardevelopments.ca
A Village Fireplace Shop Ltd.,"['PO Box 880, 623 Broadway St.', 'Wyoming, ON', 'N0N 1T0']",Tina Neville,519-845-9915,www.villagefireplaceshop.com
"A-1 Flooring Canada, St. Catharines","['166 Bunting Road', 'St. Catharines, ON', 'L2M 3Y1']",Neil Hallam,905-688-9200,N/A
A-Plus Air,"['110-1100 South Service Road', 'Stoney Creek, ON', 'L8E 0C5']",Steve Brogan,(905) 385-6450,www.aplusair.ca
A. DeSantis Developments Ltd.,"['8 Main St. E. Suite 202', 'Hamilton, ON', 'L8N 1E8']",Anthony DeSantis Jr.,(905) 777-0252,http://www.desantis.com
A. J. Clarke & Associates Ltd.,"['25 Main Street West Suite 300', 'Hamilton, ON', 'L8P 1H1']",Brad Clarke,(905) 528-8761,http://www.ajclarke.com
A. J. Clarke and Associates Ltd,"['25 Main Street West, Suite 300', 'Hamilton, ON', 'L8P 1H1']",Franz Kloibhofer,905-528-8761,http://www.ajclarke.com
A. Mather Fine Homes Inc.,"['37 Lonsdale Road', 'Toronto, ON', 'M4V 1W4']",Adam Mather,416-482-9001,http://www.matherfinehomes.com
A. Mazzucco Construction,"['369 Bering Avenue', 'Toronto, ON', 'M8Z 3B1']",Joseph Mazzucco,416-207-0388,http://www.amazzucco.on.ca
A.D.C. Aluminum Contracting Ltd.,"['16 Spinnaker Way', 'Concord, ON', 'L4K 2T8']",Domenic De Cesare,905-669-1172,http://www.adcaluminum.com
A.J. Vanderzalm-Custom Builder,"['2827 Effingham Road, R.R. #1', 'St. Catharines, ON', 'L2R 6P7']",Arnold Vanderzalm,(905) 685-1393,www.arnoldvanderzalm.com
A.M. Candaras Associates Inc.,"['8551 Weston Road', 'Woodbridge, ON', 'L4L 9R4']",Tas Candaras,905-850-8020,http://www.amcai.com
A.N.T. Homes,"['303 Sunnybrae Ave.', 'Innisfil, ON', 'L9S 0K9']",Wayne Ezekiel,705-431-2268,-
A.R.G. Group Inc.,"['111 Creditstone Road', 'Concord, ON', 'L4K 1N3']",Neil Palmer,905-695-0661,http://www.bwhomes.ca
"A.T. McLaren Ltd., Legal and Engineering Surveys","['69 John St. S. Suite 230', 'Hamilton, ON', 'L8N 2B9']",Dan McLaren,(905) 527-8559,N/A
Aable Construction Limited,"['2430 Delzotto Avenue', 'Gloucester, ON', 'K1T 3V7']",Angela Shelp,613-822-0731,www.aableconstruction.ca
Aalto Development Inc.,"['190 Dunlop St. E', 'Barrie, ON', 'L4M 1B3']",Tomi Aalto,705-795-5116,www.aaltodevelopment.ca
Aalto Development Inc.,"['140 Dunlop Street East', 'Barrie, ON', 'L4M 6H9']",Piia Alatalo,705-794-9469,http://www.aaltodevelopment.ca
AAR-K Excavating Inc.,"['4048 Englehart Drive', 'Petriolia, ON', 'N0N 1R0']",Randy Keating,519-328-2904,N/A
Aareas Interactive Inc.,"['1120 Finch Avenue West', 'Toronto, ON', 'M3J 3H7']",Frank Guido,416-661-2244,http://www.aareas.com
Aaron Brown Construction,"['3800 Donnelly Drive', 'Kemptville, ON', 'K0G 1J0']",Aaron Brown,613-807-5606,abrownconstruct.com
Aaron Galbraith Landscaping,"['1418 Irish Line', 'Haliburton, ON', 'K0M 1S0']",Aaron Galbraith,705-457-5571,N/A
Aarts Trucking,"['2517 Fanshawe Park Road E.', 'London, ON', 'N5X 4A1']",Ryan Declercq,519-455-1988,www.aartstrucking.ca
Abbey Road Construction Inc.,"['237 Arvin Avenue', 'Stoney Creek, ON', 'L8E 5S6']",Ben Janicki,(905) 547-9727,http://www.hydrostarag.com
Abode Home Comfort,"['122 Edward Street', 'St, Tginas, ON', 'N5P 1Z2']",Tim Townsend,519-808-3443,N/A
Above Board Carpentry,"['1724 Tom Bolton Rd.', 'Minden, ON', 'K0M 2K0']",Graham Borgdorff,705-455-2196,www.aboveboardcarpentry.com
Absolute Home Creations,"['197 Rembrandt Place', 'London, ON', 'N6C 5G9']",Peter Glover,519-668-1550,www.absolutehomecreations.com
Absolute Home Creations,"['2186 Mountain Grove Ave. Suite #403', 'Burlington, ON', 'L7P 2J3']",,(905) 570-1881,http://www.absolutehomecreations.com
Absolute Homes Creations,"['55 Northfield Dr. East. Suite 192', 'Waterloo, ON', 'N2K 3T6']",Peter Glover,519-651-0436,www.absolutehomecreations.com
Accubuilt Construction Ltd,"['1122 Brock Street South', 'Whitby, ON', 'L1N 4L9']",Domenic Chiodo,905-430-0655,www.accubuilt.ca
AccuServ Heating and Air Conditioning Inc.,"['1167 Woodbine Avenue', 'Toronto, ON', 'M4C 4C6']",James Memije,416-269-2228,https://www.AccuServHeating.com
Ace Developments Ltd.,"['200 Consumers Road', 'Toronto, ON', 'M2J 4R4']",Imran Khan,416-204-1222,http://www.acedev.ca
ACM Designs Inc,"['7 Dysart Ave', 'Haliburton, ON', 'K0M 1S0']",Andria Cowan,705-457-5253,N/A
Acrytec Panel Industries,"['40 Gaudaur Road', 'Woodbridge, ON', 'L4L 4S6']",Rick Buna,905-326-3749,http://www.acrytecpanel.com
Activa,"['55 Columbia St. East, Suite 1', 'Waterloo, ON', 'N2J 4N7']",Geoff McMurdo,519-886-9400,www.activagroup.ca
Adams Building Supply Limited,"['668 Peel Street', 'Woodstock, ON', 'N4S 1L1']",Jamie Adams,519-539-1211,N/A
Adcor Construction & Sons,"['2655 Blackwell Street, Unit 1', 'Ottawa, ON', 'K1B 4E4']",Shane Adsett,613-422-2128,www.adcorconstruction.com
ADHOC STUDIO,"['23 Lesmill Road', 'Toronto, ON', 'M3B 3P6']",Tim Ng,416-551-5345,http://www.adhocstudio.ca
ADI Development Group,"['1100 Burloak Drive', 'Burlington, ON', 'L7L 6B2']",Saud Adi,905-335-2929,http://www.adidevelopments.com
ADUSearch ,"['1770 Langlois Ave', 'Windsor, ON', 'N8X 4M5']",Sarah Cipkar,519-790-9518,fswe.ca
Advance Tile & Floor Covering Toronto Ltd.,"['35 Romina Drive', 'Concord, ON', 'L4K 4Z9']",Jim DeAngelis,416-630-1960,http://www.advancetile.com
Advanced Air Design,"['6639 Suncrest Dr', 'Ottawa, ON', 'K4P 1B3']",Dan Mercer,613-277-8009,http://www.advancedairdesign.ca
Advanced Basement Systems,"['23576 Prince Albert Rd.', 'Chatham, ON', 'N7M 5J7']",Belal Hashim,519-351-3500,N/A
Advanced Building Materials,"['591 Gladwish Dr.', 'Sarnia, ON', 'N7T 7H3']",Norm Williams,519-336-2212,www.advancedbuildingmaterials.com
AE Builders Development Design Build Inc.,"['1396 Rideau Gate', 'London, ON', 'N5X 1X1']",Jenny Hecht,519-694-3515,aebuilders.ca
Aecom Canada LTD,"['50 Sportsworld Crossing Road', 'Kitchener, ON', 'N2P 0A4']",Milan Kuljanin,519-573-7478,www.aecom.com
Aequitas Developments,"['22 Antares Dr.', 'Ottawa, ON', 'K2E 7Z6']",Brock Thom,613-301-5570,http://www.aequitas.ca
AeroBarrier Canada,"['6-50 Fleming Drive', 'Cambridge, ON', 'N1T 2B1']",Ian Walker,647-924-1175,airsealingpros.ca
AeroBarrier Canada,"['50 Fleming Drive Unit 6', 'Cambridge, ON', 'N1T 2B1']",Ian Walker,647-924-1175,airsealingpros.ca
Aerobarrier Canada,"['50 Fleming Dr., Unit 6', 'Cambridge, ON', 'N1T 2B1']",Ian Walker,647-924-1175,airsealingpros.ca
Aeroseal GTA,"['230 Mackenzie Avenue', 'Ajax, ON', 'L1S 2E8']",Joe Lane,647-367-6111,http://www.aerosealgta.com
Affiliated Distributors,"['3630 Odyssey Dr. Unit 1', 'Mississauga, ON', 'L5M 0Z9']",Rob Dewar,905-858-0988,www.idiind.com
AGG Contracting,"['2444 Wallbridge Loyalist Rd', 'Foxboro, ON', 'K0K 2B0']",Andrew Scott,613-743-7833,www.aggcontracting.ca
AGM Basements,"['4-120 Jevlan Drive', 'Vaughan, ON', 'L4L 8G3']",Ivan Atanasov,416-477-5429,http://www.agmrenovations.com
AGM Surveying - Engineering,"['3515 White Oak Road', 'London, ON', 'N6E 2Z9']",Juan Zapata,519-685-5300,www.agm.on.ca
Agrigento Homes,"['185 Valleyview Dr', 'Ancaster, ON', 'L9G 2A7']",Carm Gueli,(905) 541-6771,http://www.agrigentohomes.ca
Ahmed Group,"['1024 Dundas Street East', 'Mississauga, ON', 'L4Y 2B8']",Jose Garreton,905-949-0999,http://www.ahmed.group
Ainger Group ,"['115 First St. Suite 402', 'Collingwood, ON', 'L9Y 4W3']",Michael Ainger,705-444-5712,www.aingergroup.ca
Ainley Group,"['139 Front Street', 'Belleville, ON', 'K8N 2Y5']",Brian Paquin,613-966-4243,-https://www.ainleygroup.com/
Air Solutions Inc.,"['50 Fleming Drive', 'Cambridge, ON', 'N1T 2B1']",Sarah Wartman,519-658-6232,http://www.AirSolutions.ca
Aird & Berlis LLP,"['181 Bay Street, Brookfield Place', 'Toronto, ON', 'M5J 2T9']",Tom Halinski,416-863-1500,http://www.airdberlis.com
Airia Brands Inc.,"['511 McCormick Blvd.', 'London, ON, ON', 'N5W 4C8']",Karen Symak,905-213-2175,www.lifebreath.com
Airmax Technologies,"['209 Citation Drive', 'Concord, ON', 'L4K 2Y8']",Jack Van Beurden,905-264-1414,http://www.airmaxtechnologies.com
Airtight Home Technologies,"['3 Bobcat Way', 'Stittsville, ON', 'K2S 1P3']",Gary Sharp,613-220-9987,https://airtighthometech.ca/
Airwood,"['6167 Don Murie Street', 'Niagara Falls, ON', 'L2G 0B1']",Carmi Mooser,905-356-2883,www.airwood.ca
AJD Design Group Inc.,"['353 Saunders Rd.  Unit 1', 'Barrie, ON', 'L4N 9A3']",Albert Donadio,416-518-5976,ajddesigngroup.com
Alair Homes,"['570 Willett Road', 'Roslin, ON', 'K0K 2Y0']",Brendan Troy,613-969-8769,alairhomes.ca
Alair Homes - Collingwood,"['224 Saint Marie St,', 'Collingwood, ON', 'L9Y 3K5']",,705-444-9005,N/A
Alair Homes - Georgian Bay,"['288 King Street, Suite 101', 'Midland, ON', 'L4R 3M6']",Elliott Sheaves,705-433-1610,www.alairhomes.ca
Alair Homes - Toronto,"['2001 Sheppard Ave East', 'Toronto, ON', 'M2J 4Z8']",Justin Thompson,416-988-1661,http://www.alairhomes.ca
Alair Homes Collingwood ,"['224 Ste Marie Street,', 'Collingwood, ON', 'L9Y 3K5']",Kevin Blair,705-444-9005,www.alairhomes.ca/collingwood/
Alair Homes Oakville,"['20-775 Pacific Rd', 'Oakville, ON', 'L6L 6M4']",Mark Chuba,(905) 483-0366,http://alairhomes.ca/oakville
Alarm Systems,"['P.O. Box 868, 260 Adam Street', 'Belleville, ON', 'K8N 5S4']",Kristin Crowe,613-969-5100,https://alarmsys.com
Alcove Holdings Inc.,"['105 Schneider Road', 'Kanata, ON', 'K2K 1Y3']",Bassil Jabir,343-548-1968,http://alcoveholdings.ca/
Aldershot Homes,"['33 Memorial Drive, Suite 101', 'Brantford, ON', 'N3R 5R8']",Gabriel Gasbarrini,519-752-0557,N/A
Alectra Utilities Corporation,"['55 John Street North PO Box 2249 St', 'Hamilton, ON', 'L8N 3E4']",,(905) 521-4941,http://www.alectrautilities.com
Alexander Budrevics & Associates Limited,"['895 Don Mills Road', 'Toronto, ON', 'M3C 1W3']",Arnis Budrevics,416-444-5201,http://www.budrevics.com
Alf Curtis Home Improvements Inc.,"['370 Parkhill Road E.', 'Peterborough, ON', 'K9L 1C3']",Chase Curtis,(705) 742-4690,www.alfcurtis.com
Alfred Beam Excavating Limited,"['1219 Sunset Drive', 'Fort Erie, ON', 'L2A 5M4']",Tom Stack,905-871-3002,beamteam.ca
Alfred's Carpet One Floor & Home,"['4487 Wellington Rd. S.', 'London, ON', 'N6E 2Z8']",Shawn Kavelman,519-686-1212,www.carpetone.com
Algonquin College of Applied Arts,"['1385 Woodroffe Avenue', 'Ottawa, ON', 'K1R 7Y6']",Joanne Snell,613-295-1067,www.algonquincollege.com
Algonquin Roofing Inc.,"['1052 Leroy Dr. Box 401', 'Wilberforce, ON', 'K0L 3C0']",Frank Packard,705-448-2734,www.algonquinroofing.ca
Alinea Group Holdings Inc.,"['4480 Paletta Court', 'Burlington, ON', 'L7L 5R2']",Dave Pitblado,905-632-6036,https://www.Aghinc.ca
Alinea Group Holdings Inc.,"['4480 Paletta Court', 'Burlington, ON', 'L7L 5R2']",Paul Paletta,(905) 632-6036,https://www.aghinc.ca/
All Angles Renovations Ltd.,"['17 Natal Avenue', 'Scarborough, ON', 'M1N 3V3']",Ken George,416-261-9732,http://www.allanglesrenovations.ca
All Clear Disinfecting Inc.,"['140 Victoriawood Ave.', 'Springwater, ON', 'L9X 1Z8']",Christopher Krasowski,226-503-9099,www.allcleardisinfecting.com
All Things Home Inc.,"['140 Snelgrove Drive', 'Carp, ON', 'K0A 1L0']",Anita Murray,613-894-7321,www.allthingshome.ca
All-Brite Glass,"['31 Manitou Dr', ', ON', 'N2C 1K9']",Terry Aivaliotis,519-894-4288,N/A
Alliance Homes Ltd.,"['6048 Highway 9', 'Schomberg, ON', 'L0G 1T0']",Alex Troop,905-761-7086,http://www.alliancehomes.ca
Alliance Lintel Wraps Inc.,"['3560 Rutherford Road', 'Woodbridge, ON', 'L4H 3T8']",John Secondino,647-970-5650,https://www.AllianceLintel.com
Alliance United Corporation,"['3190 Harvester Road', 'Burlington, ON', 'L7N 3T1']",Diane Bertolin,519-965-8150,https://www.Aucorp.ca
Allister Group Inc.,"['8500 Leslie Street', 'Thornhill, ON', 'L3T 7M8']",Sheldon Libfeld,416-245-5456,N/A
Alliston Home Hardware Building Centre,"['4840 concession Road 7', 'Alliston, ON', 'L9R 1V1']",Dan Moulton,705-435-5511,www.homehardware.ca
ALLPRO Underground Utilities,"['516 Blue Lake Rd', 'St. George, ON', 'N0E 1N0']",Louis Szpeflicki,(519) 760-2764,https://www.allprounderground.com/
Allto Construction Services ,"['1-23 Robb Blvd.', 'Orangeville, ON', 'L9W 3L1']",Nick Acchione,519-941-6402,N/A
Allumination Siding & Windows,"['101 Catharine Avenue', 'Brantford, ON', 'N3T 1X8']",Wilf Hogeveen,(519) 753-4084,-
Alma Mechanical,"['2365 Energy Dr, Unit 4', 'Bowmanville, ON', 'L1C 3K3']",Dave Decker,(905) 697-5775,-
Alma Mechanical,"['2365 Energy Drive Unit # 4', 'Bowmanville, ON', 'L1C 6Z9']",Dave Decker,905-697-5775,N/A
Almadev,"['2235 Sheppard Avenue East', 'Toronto, ON', 'M2J 5B5']",Dror Duchovny,416-223-4403,http://www.almadev.ca
Almonte Door & Trim Inc.,"['95 Warrior Street', 'Stittsville, ON', 'K2V 0M2']",Tony Demers,613-769-5674,N/A
ALMP Group Inc.,"['180 Kingslynn Drive', 'King City, ON', 'L7B 1H1']",Piero Zanetti,416-518-8898,https://www.ZanettiHomes.com
Alpha Omega Signs,"['11700 LAKE RIDGE ROAD', 'SUNDERLAND, ON', 'L0C 1H0']",Olivia Vishnukumar,905-852-2647,https://www.SignFixer.com
Alphyn Homes Inc.,"['230 Don Park Road', 'Toronto, ON', 'L3R2P7']",Sean Baradaran,416-737-8607,http://www.alphynhomes.ca
Alpine Construction,"['2645 North Talbot Road', 'Oldcastle, ON', 'N0R 1L0']",Lou Savoni,519-737-0500,alpineconstruction.ca
Alta Developments,"['345 Powell Road', 'Whitby, ON', 'L1N 2H5']",Frank Giordano,905-442-2464,www.altadevelopments.com
Alta Drywall Solutions Inc.,"['260 Sheldon Drive, Unit # A', 'Cambridge, ON', 'N1T 1A8']",,(519) 624-4400,http://www.altadrywall.ca
Altare Developments (2474791 Ontario Inc.),"['428 Ancaster Avenue', 'Ottawa, ON', 'K2B 5B5']",Michael Brum,613-235-0738,www.altaregroup.com
Alterra Group of Companies,"['920 Yonge Street', 'Toronto, ON', 'M4W 3C7']",Robert Cooper,416-964-1800,http://www.alterra.com
Altree Developments,"['2828 Bathurst Street', 'Toronto, ON', 'M6B 3A7']",Thu Vo,647-715-5711,http://www.altreedevelopments.com
"Altus Data Solutions, Altus Group","['220 King St W', 'Toronto, ON', 'M5H 1K4']",Keri Boyce,416-596-7676,N/A
"Altus Data Solutions, Altus Group","['33 Yonge Street, Suite 500', 'Toronto, ON', 'M5E 1G4']",Keri Boyce,416-596-7676,www.realnet.ca
Altus Group,"['33 Yonge Street', 'Toronto, ON', 'M5E 1G4']",Kevin Fleming,416-641-9500,http://www.altusgroup.com
Altus Group Data Solutions Inc.,"['33 Yonge Street Suite 500', 'Toronto, ON', 'M5E 1G4']",Keri Boyce,(416) 596-7676,http://www.altusgroup.com
Altus Group Limited,"['33 Yonge Street', 'Toronto, ON', 'M5E 1G4']",Peter Norman,(416) 641-9500,http://www.altusgroup.com
Altwood Garage Doors Ltd.,"['140 Ashwarren Road', 'Downsview, ON', 'M3J 1Z8']",Diane Urbano,416-635-5500,http://www.altwooddoors.com
Alumalco,"['3349 Griffith', 'Montreal, QC', 'H4T 1W5']",Jacqueline Matuszewski,514-600-4651,https://alumalco.ca/
Alumalco,"['1535 Meyerside Drive', 'Mississauga, ON', 'L5T 1M9']",Tanya Angas,1-855-826-6799,https://Alumalco.ca
Aluminium Depot Gatineau - Ottawa,"['1623 Amtec', 'Gatineau, QC', 'J8R 0H8']",Claude Poirier,819-663-5002,www.aldg.ca
AM Group of Companies,"['207 Exeter Road, Unit C', 'London, ON', 'N4L 1A4']",Andrew Mischuk,(519) 668-1555,www.amgoc.ca
AM Group of Companies,"['230 Gage Rd.', 'Kitchener, ON', 'N2M 2C8']",Melanie Haviland,519-826-6969,amroofing.ca
AM Group of Companies,"['9485 Beachwood Road', 'Collingwood, ON', 'L9Y 0X2']",Vicki Terpselas,705-445-3540,N/A
Ambassador Dearie HVAC Inc.,"['101 Innes Parkway', 'Ottawa, ON', 'K1B 1E3']",Joseph Yammine,613-741-9595,www.ambassadorhvac.com
Amber Stairs & Railings Ltd.,"['10 Northrup Crescent', 'St. Catharines, ON', 'L2M 7M4']",Elnita Post,(905) 935-2590,www.amberstairs.ca
Ambia Windows and Doors Inc.,"['70 East Beaver Creek Road', 'Richmond Hill, ON', 'L4B 3B2']",Tony Radocchia,416-831-3719,http://www.ambiawindowsdoors.com
Ambria Homes,"['400 Creditstone Rd. Unit 9', 'Vaughan, ON', 'L4K 3Z3']",Lily Lancia,416-682-5201,www.ambria.ca
Ambria Homes Inc.,"['400 Creditstone Road', 'Vaughan, ON', 'L4K 3Z3']",Peter D'Ambrosio,+1 (416) 682-5200,http://www.ambria.ca
Ambrosio Construction & Renovations Inc.,"['665 Tradewind Drive, Unit #4', 'Ancaster, ON', 'L9G 4V5']",John Ambrosio,(289) 239-6799,http://www.ambrosioconstruction.ca/
American Standard Brands,"['17 Lexington Cresent', 'Bellevile, ON', 'K8P 4L2']",Mark Tullock,613-391-1500,americanstandard.ca
American Standard Brands,"['5900 Avebury Road', 'Mississauga, ON', 'L5R 3M3']",Carolyn Enright,416-917-0905,www.americanstandard.ca
Amexon Development Corporation,"['150 Ferrand Drive', 'Toronto, ON', 'M3C 3E5']",Ashling Evans,416-467-1893,http://www.amexon.com
Amsted Design-Build,"['7725 Flewellyn Road', 'Ottawa, ON', 'K2S 1B6']",Steve Barkhouse,613-836-7434,www.amsted.ca
Amvic Building System,"['501 McNicoll Avenue', 'Toronto, ON', 'M2H 2E2']",HOWARD COHEN,416-410-5674,http://www.amvicsystem.com
Amvic Building System,"['501 McNicoll Ave', 'Toronto, ON', 'M2H 2E2']",Bill Woodcock,519-671-6733,www.amvicsystem.com
Amvic Building System,"['501 McNicoll Avenue', 'Toronto, ON', 'M2H 2E2']",Michael Condello,(877) 470-9991,https://www.amvicsystem.com/
ANC Group,"['1-142 West St.', 'BRANTFORD, ON', 'N3T 3G3']",Connie Martin,226-208-1715,N/A
Anchor Concrete Products,"['1645 Sydenham Rd', 'Kingston, ON', 'K7L 4V4']",Ryan Bradfield,613-546-6683,N/A
Andelwood Homes,"['2184 Bloor Street', 'Bowmanville, ON', 'L1C 0Z8']",Shawn Van Andel,905-439-4566,www.andelwoodhomes.ca
Anden Design / Build,"['470 Colborne Street', 'London, ON', 'N6B 2T3']",Marcus Plowright,519-858-2999,www.anden.ca
Anden Kitchen and Bath Centre,"['1985 Lansdowne Street W.', 'Peterborough, ON', 'K9J 6X4']",Cole Robbins,705-749-9595,www.andenbathrooms.com
Andre Godin Design Inc.,"['6 Shiregreen Drive', 'Nepean, ON', 'K2J 3M7']",Andre Godin,613-823-8833,www.andregodindesign.com
"Andrew,Thompson & Associates","['177 Dunlop St. W.', 'Barrie, ON', 'L4N 1B4']",Peter Spivey,705-721-1596,www.andrew-thompson.on.ca
Andrin Homes,"['26 Lesmill Rd. Unit 3', 'Toronto, ON', 'M3B 2T5']",Anne Marchildon,416-733-3128,www.andrinhomes.com
Andrin Limited,"['26 Lesmill Road', 'Toronto, ON', 'M3B 2T5']",Peter Smith,416-733-3128,http://www.andrinhomes.com
Andy Cockburn,"['61 Beckwith Street East', 'Perth, ON', 'K7H 1B8']",Andy Cockburn,613-264-5319,N/A
Anew Building Corporation,"['3 Winnipeg Road', 'Toronto, ON', 'M9P 2E2']",Sam DeCaria,416-240-1776,http://www.anewbldg.com
Anndale Properties Limited,"['28 Saranac Boulevard', 'Toronto, ON', 'M6A 2G5']",David Holmes,416-444-5228,http://www.anndaleproperties.com
Annis O'Sullivan Vollebekk Ltd,"['500 - 14 Concourse Gate', 'Nepean, ON', 'K2E 7S6']",Ed Herweyer,613-727-0850,www.aovltd.com
Annspell Holdings Ltd.,"[""19 Smith's Lane"", 'Brantford, ON', 'N3V 1E6']",Debby Speelziek,(519) 758-5188,-
Antilia Homes Corp,"['326 Churchill Avenue North', 'Ottawa, ON', 'K1Z 5B9']",Ravi Shanghavi,613-261-3708,www.antiliahomes.com
Anvale Homes Inc.,"['936 The East Mall', 'Toronto, ON', 'M9B 6J9']",Valerie Gerardi,(905) 669-0471,http://www.anvalehomes.com
Aon Inc.,"['307 Aylmer Street, P.O. Box 296', 'Peterborough, ON', 'K9J 6Y8']",Brad Smith,705-742-5445,www.aoninc.com
Aoyuan International,"['5160 Yonge Street', 'North York, ON', 'M2N 6L9']",Xiaoli Guo,416-363-6688,http://www.aoyuaninternational.com
APA The Engineered Wood Association,"['1180 Line 2 South', 'Shanty Bay, ON', 'L0L 2L0']",Cory McCambridge,905-460-4455,http://www.apawood.org
Aplin & Martin Consultants Ltd.,"['55 St. Clair Avenue West', 'Toronto, ON', 'M4V 2Y7']",Chesley Blahut,416-644-1900,http://www.AplinMartin.com
Applewood Air Conditioning Ltd.,"['3525 Hawkestone Road', 'Mississauga, ON', 'L5C 2V1']",Joe Krebs,905-275-4500,http://www.applewoodair.com
Appliance Canada,"['1560 Merivale Road, #15', 'Nepean, ON', 'K2G 4B5']",Irene Charbonneau,613-416-1223,www.appliancecanada.com
Appliance Canada a division of Leon's Furniture Limited,"['8701 Jane Street', 'Concord, ON', 'L4K 2M6']",John Harvard,905-761-2461,http://www.appliancecanada.com
 Apsogos Contracting ,"['590 Pinawa Circle', 'Ottawa, ON', 'K2J 5Y2']",Amy Aziz,613-970-6157,https://apsogoscontracting.ca/
Apt. Agency,"['214B - 276 Carlaw Ave', 'Toronto, ON', 'M4M 3L1']",Cecelia Torchia,416-276-1043,http://www.aptagency.ca
